ticker,name,sector,indices,board
AADI,"AADI",Lainnya,KOMPAS100,Utama/Pengembangan
ACES,"ACES",Lainnya,KOMPAS100,Utama/Pengembangan
ADMR,"ADMR",Lainnya,KOMPAS100,Utama/Pengembangan
ADRO,"ADRO",Lainnya,KOMPAS100,Utama/Pengembangan
AKRA,"AKRA",Lainnya,KOMPAS100,Utama/Pengembangan
AMMN,"AMMN",Lainnya,KOMPAS100,Utama/Pengembangan
AMRT,"AMRT",Lainnya,KOMPAS100,Utama/Pengembangan
ANTM,"ANTM",Lainnya,KOMPAS100,Utama/Pengembangan
ARCI,"ARCI",Lainnya,KOMPAS100,Utama/Pengembangan
ARTO,"ARTO",Lainnya,KOMPAS100,Utama/Pengembangan
ASII,"ASII",Lainnya,KOMPAS100,Utama/Pengembangan
BBCA,"BBCA",Lainnya,KOMPAS100,Utama/Pengembangan
BBNI,"BBNI",Lainnya,KOMPAS100,Utama/Pengembangan
BBRI,"BBRI",Lainnya,KOMPAS100,Utama/Pengembangan
BBTN,"BBTN",Lainnya,KOMPAS100,Utama/Pengembangan
BBYB,"BBYB",Lainnya,KOMPAS100,Utama/Pengembangan
BFIN,"BFIN",Lainnya,KOMPAS100,Utama/Pengembangan
BIPI,"BIPI",Lainnya,KOMPAS100,Utama/Pengembangan
BKSL,"BKSL",Lainnya,KOMPAS100,Utama/Pengembangan
BMRI,"BMRI",Lainnya,KOMPAS100,Utama/Pengembangan
BNBR,"BNBR",Lainnya,KOMPAS100,Utama/Pengembangan
BRIS,"BRIS",Lainnya,KOMPAS100,Utama/Pengembangan
BRMS,"BRMS",Lainnya,KOMPAS100,Utama/Pengembangan
BRPT,"BRPT",Lainnya,KOMPAS100,Utama/Pengembangan
BSDE,"BSDE",Lainnya,KOMPAS100,Utama/Pengembangan
BUKA,"BUKA",Lainnya,KOMPAS100,Utama/Pengembangan
BULL,"BULL",Lainnya,KOMPAS100,Utama/Pengembangan
BUMI,"BUMI",Lainnya,KOMPAS100,Utama/Pengembangan
BUVA,"BUVA",Lainnya,KOMPAS100,Utama/Pengembangan
CBDK,"CBDK",Lainnya,KOMPAS100,Utama/Pengembangan
CMRY,"CMRY",Lainnya,KOMPAS100,Utama/Pengembangan
COIN,"COIN",Lainnya,KOMPAS100,Utama/Pengembangan
CPIN,"CPIN",Lainnya,KOMPAS100,Utama/Pengembangan
CTRA,"CTRA",Lainnya,KOMPAS100,Utama/Pengembangan
CUAN,"CUAN",Lainnya,KOMPAS100,Utama/Pengembangan
DEWA,"DEWA",Lainnya,KOMPAS100,Utama/Pengembangan
DSNG,"DSNG",Lainnya,KOMPAS100,Utama/Pengembangan
ELSA,"ELSA",Lainnya,KOMPAS100,Utama/Pengembangan
EMAS,"EMAS",Lainnya,KOMPAS100,Utama/Pengembangan
EMTK,"EMTK",Lainnya,KOMPAS100,Utama/Pengembangan
ENRG,"ENRG",Lainnya,KOMPAS100,Utama/Pengembangan
ERAA,"ERAA",Lainnya,KOMPAS100,Utama/Pengembangan
ESSA,"ESSA",Lainnya,KOMPAS100,Utama/Pengembangan
EXCL,"EXCL",Lainnya,KOMPAS100,Utama/Pengembangan
GGRM,"GGRM",Lainnya,KOMPAS100,Utama/Pengembangan
GOTO,"GOTO",Lainnya,KOMPAS100,Utama/Pengembangan
HEAL,"HEAL",Lainnya,KOMPAS100,Utama/Pengembangan
HRTA,"HRTA",Lainnya,KOMPAS100,Utama/Pengembangan
HRUM,"HRUM",Lainnya,KOMPAS100,Utama/Pengembangan
ICBP,"ICBP",Lainnya,KOMPAS100,Utama/Pengembangan
IMPC,"IMPC",Lainnya,KOMPAS100,Utama/Pengembangan
INCO,"INCO",Lainnya,KOMPAS100,Utama/Pengembangan
INDF,"INDF",Lainnya,KOMPAS100,Utama/Pengembangan
